id,A,B,C,D,E,F,G,H,I,J,K,L,Categoria
2,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
3,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
4,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
5,3,4,6,6,1,4,6,4,1,6,1,6,6,Privada
6,6,4,6,5,6,6,6,6,6,6,6,6,6,Privada
7,6,NA,6,5,6,6,6,6,6,6,5,6,5,Privada
8,6,1,6,6,6,6,6,6,6,6,6,6,6,Privada
9,4,6,6,6,6,6,6,6,6,6,6,6,6,Privada
10,2,1,5,1,2,6,5,3,1,6,2,4,4,Privada
11,3,2,6,6,6,6,6,6,6,6,6,6,6,Privada
12,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
13,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
14,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
15,6,5,6,6,6,6,6,6,3,6,3,6,6,Privada
16,3,5,2,6,4,6,6,6,1,4,6,6,5,Privada
17,5,6,6,6,6,5,3,6,6,5,5,5,6,Privada
18,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
19,4,6,6,6,6,6,6,6,3,6,6,6,6,Privada
20,6,5,6,6,6,6,6,6,6,6,6,6,6,Privada
21,6,6,6,6,6,6,5,6,6,5,5,6,5,Privada
22,5,5,6,5,5,6,6,6,5,5,5,6,5,Privada
23,6,6,5,6,5,6,4,5,5,5,5,4,4,Privada
24,5,6,6,6,4,6,6,6,6,6,5,5,6,Privada
25,4,4,4,4,5,5,4,4,5,6,5,5,4,Privada
26,6,6,6,6,6,6,6,6,6,6,5,6,6,Privada
28,5,6,5,5,4,6,5,3,5,5,4,4,4,Privada
29,6,6,4,5,6,NA,5,4,3,6,4,5,6,Privada
30,5,6,6,6,6,6,6,6,6,6,6,5,6,Privada
31,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
32,3,5,4,5,5,5,3,4,5,5,5,3,4,Privada
33,5,6,4,4,5,2,2,2,1,5,3,3,1,Privada
34,6,6,6,6,5,6,5,5,5,4,6,6,5,Privada
35,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
36,6,6,6,6,6,6,6,6,6,6,6,5,6,Privada
37,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
38,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
39,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
40,5,5,6,6,6,5,5,5,6,5,5,6,5,Privada
42,5,6,4,5,5,5,5,4,2,6,6,4,2,Privada
43,6,6,6,6,6,5,2,6,6,6,3,4,3,Privada
44,6,6,6,6,6,6,6,6,6,6,5,6,6,Privada
45,6,6,6,5,6,6,6,6,6,6,6,4,5,Privada
46,6,6,6,6,6,6,5,6,6,6,5,5,6,Privada
47,6,6,6,6,6,6,6,6,6,6,6,4,5,Privada
50,6,6,6,5,6,6,4,6,5,6,6,6,4,Privada
51,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
53,6,6,6,5,6,6,6,6,4,6,6,4,5,Privada
54,6,5,6,6,6,6,6,5,4,6,6,5,6,Privada
55,5,5,5,5,5,5,5,5,5,5,5,5,5,Privada
56,6,6,6,6,6,6,6,6,6,4,6,6,6,Privada
57,6,6,4,5,6,6,6,6,5,6,5,6,6,Privada
58,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
59,6,6,5,6,5,6,3,NA,6,5,6,5,5,Privada
60,6,5,5,6,5,4,4,5,5,6,4,6,5,Privada
61,5,6,5,5,5,6,5,6,6,5,5,5,4,Privada
62,5,5,5,4,5,5,4,5,5,5,5,5,4,Privada
63,6,6,6,6,6,6,6,6,6,4,6,6,6,Privada
64,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
65,4,4,4,5,6,6,4,6,6,6,5,6,6,Privada
66,6,6,6,6,6,6,6,6,6,6,5,6,3,Privada
67,6,5,4,6,4,6,3,5,5,6,6,6,4,Privada
68,5,6,5,5,5,5,5,6,5,4,4,6,6,Privada
69,6,5,5,5,6,6,6,5,6,5,5,5,6,Privada
70,6,5,4,6,4,6,6,6,5,5,6,6,4,Privada
71,6,6,6,6,6,4,6,6,6,6,4,5,6,Privada
72,4,4,5,4,5,5,5,5,4,5,5,5,4,Privada
73,6,6,5,6,4,5,6,5,5,6,6,6,5,Privada
74,6,6,6,6,6,6,5,5,4,5,6,4,3,Privada
75,6,6,6,5,5,5,6,6,5,5,5,5,5,Privada
76,6,6,5,6,6,6,5,5,4,6,6,6,6,Privada
77,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
78,6,6,6,5,6,6,6,5,5,5,6,5,5,Privada
79,6,6,5,5,5,5,6,5,4,6,6,5,5,Privada
80,6,6,6,6,6,6,6,6,6,4,5,5,5,Privada
81,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
82,6,6,6,6,6,6,6,6,6,6,6,6,6,Privada
83,6,6,6,6,6,5,5,5,6,5,5,5,5,Privada
84,3,6,3,2,2,5,4,4,2,4,4,5,4,Privada
85,6,6,6,3,6,6,5,6,6,6,5,5,6,Privada
86,6,6,5,6,4,4,4,5,5,4,6,6,5,Privada
87,6,6,6,6,4,6,6,6,6,6,6,5,6,Privada
88,6,3,6,1,6,6,6,6,6,6,4,5,6,Privada
89,6,6,6,6,6,6,5,5,6,4,4,6,5,Privada
91,6,6,6,6,6,6,6,6,4,6,6,6,6,Privada
92,6,6,6,6,2,5,3,6,6,4,6,6,5,Privada
93,5,5,5,5,5,5,4,5,3,5,5,5,5,Privada
94,6,6,6,6,6,6,6,6,5,6,6,6,6,Privada
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Privada
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Privada
98,6,6,6,6,6,6,6,6,4,6,6,6,6,Privada
99,4,4,4,4,4,4,4,4,4,4,4,4,4,Privada
100,6,6,6,6,6,6,6,6,6,6,6,6,5,Privada
101,5,5,4,5,4,5,NA,5,4,5,5,5,4,Privada
102,6,5,5,6,5,5,6,5,4,5,4,4,5,Privada
103,1,6,6,6,6,6,6,6,6,6,6,6,6,Privada
104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Privada
105,6,6,6,5,6,6,6,5,6,5,6,5,6,Privada
106,5,5,5,6,6,6,5,6,5,5,3,6,6,Privada
107,3,5,6,5,5,3,3,5,3,5,3,4,2,Privada
108,6,6,6,6,6,6,5,5,5,6,4,6,6,Privada
109,6,6,5,6,4,6,6,6,5,6,6,6,6,Privada
110,5,5,5,4,4,5,3,5,4,5,6,6,5,Pública
111,5,NA,5,6,6,NA,4,6,6,5,6,5,6,Pública
112,6,5,5,5,5,6,6,6,5,6,5,6,6,Pública
113,5,5,5,5,4,5,2,5,6,3,5,5,6,Pública
114,3,4,5,5,3,5,3,5,4,5,5,5,5,Pública
116,6,6,5,6,5,6,4,5,5,6,6,5,5,Pública
117,5,1,6,4,4,5,6,6,6,6,6,6,6,Pública
118,6,6,6,6,NA,6,5,6,5,6,5,6,6,Pública
119,5,2,6,4,4,4,4,5,5,5,4,5,5,Pública
120,6,5,5,6,5,6,6,6,5,5,6,6,6,Pública
121,6,5,6,6,6,6,6,5,6,6,6,6,6,Pública
122,4,NA,4,1,1,NA,NA,4,1,6,6,4,4,Pública
123,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
