id,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,CO_RS_I9,Categoria
2,76.9,84.6,85.7,83,76,60,80,90,50,100,74.3,E,Privada
3,28.7,25.2,0,63,77,65,80,49,65,45,29.8,.,Privada
4,17.9,27.2,28.6,25,50,50,50,0,0,0,14.8,B,Privada
5,37.6,47.5,42.9,54.5,34,50,30,75,75,75,34.3,C,Privada
6,53,48.7,42.9,57.5,66,70,65,49,65,45,54.4,.,Privada
7,43.8,52.3,57.1,45,43,55,40,47,35,50,41,.,Privada
8,51,57.1,57.1,57,65,65,65,49,65,45,48.9,D,Privada
9,38.1,49.9,42.9,60.5,70,70,70,51,75,45,34.1,D,Privada
10,43.9,52.1,42.9,66,61,65,60,71,75,70,41.2,C,Privada
11,65.9,60.3,57.1,65,59,55,60,71,55,75,67.7,D,Privada
12,55.1,63.2,71.4,51,51,75,45,51,55,50,52.4,E,Privada
13,50.9,34.6,28.6,43.5,36,60,30,51,75,45,56.3,D,Privada
14,24,17.2,28.6,0,0,0,0,0,0,0,26.3,D,Privada
15,68.8,58.3,57.1,60,67,75,65,53,65,50,72.3,C,Privada
16,48.9,55.3,57.1,52.5,74,50,80,31,55,25,46.7,C,Privada
17,32,50.7,57.1,41,34,50,30,48,40,50,25.7,D,Privada
18,56.6,67.6,71.4,62,76,60,80,48,60,45,52.9,C,Privada
19,52.9,54.3,57.1,50,70,70,70,30,70,20,52.4,D,Privada
20,59.6,58.9,42.9,83,76,60,80,90,50,100,59.8,D,Privada
21,72.2,79.2,75,85.5,76,80,75,95,75,100,69.8,D,Privada
22,48,55.1,37.5,81.5,72,60,75,91,55,100,45.6,D,Privada
23,55.6,80.1,87.5,69,67,75,65,71,75,70,47.4,D,Privada
24,55.1,30,50,0,0,0,0,0,0,0,63.4,.,Privada
25,27.6,26.5,12.5,47.5,73,65,75,22,30,20,27.9,A,Privada
26,33.3,50.2,50,50.5,59,55,60,42,30,45,27.6,C,Privada
28,64.9,63.9,62.5,66,77,65,80,55,75,50,65.2,.,Privada
29,25,22.5,37.5,0,0,0,0,0,0,0,25.8,D,Privada
30,75.2,70.8,75,64.5,38,70,30,91,55,100,76.6,C,Privada
31,45.4,33,25,45,60,60,60,30,70,20,49.5,D,Privada
32,27.6,35.8,25,52,47,35,50,57,85,50,24.9,D,Privada
33,44.6,30,50,0,0,0,0,0,0,0,49.5,D,Privada
34,37.4,39.2,25,60.5,74,70,75,47,55,45,36.8,E,Privada
35,33.5,43.4,50,33.5,42,50,40,25,45,20,30.2,.,Privada
36,66.8,59.7,62.5,55.5,39,75,30,72,60,75,69.2,D,Privada
37,57.8,35,25,50,49,85,40,51,55,50,65.4,C,Privada
38,64,51.7,37.5,73,77,65,80,69,65,70,68.1,D,Privada
39,31.5,35,50,12.5,25,65,15,0,0,0,30.3,D,Privada
40,14,16.8,0,42,58,50,60,26,30,25,13,D,Privada
42,55.8,52.8,50,57,62,50,65,52,80,45,56.8,D,Privada
43,28.2,32.5,37.5,25,24,60,15,26,50,20,26.8,D,Privada
44,59.3,60.8,50,77,87,75,90,67,55,70,58.8,D,Privada
45,56,54.9,37.5,81,87,75,90,75,75,75,56.3,D,Privada
46,28.1,49.4,50,48.5,47,55,45,50,50,50,21,D,Privada
47,36.2,23.3,12.5,39.5,33,65,25,46,50,45,40.5,D,Privada
50,51,40.5,12.5,82.5,74,70,75,91,55,100,54.5,D,Privada
51,27.7,17.5,12.5,25,50,50,50,0,0,0,31.1,D,Privada
53,34.5,38.6,25,59,27,75,15,91,55,100,33.1,D,Privada
54,26.9,48.3,37.5,64.5,55,55,55,74,70,75,19.8,D,Privada
55,38.3,49.2,50,48,63,55,65,33,65,25,34.6,D,Privada
56,21.2,18,25,7.5,15,75,0,0,0,0,22.2,E,Privada
57,32.1,36,50,15,30,50,25,0,50,0,30.8,E,Privada
58,47.6,50.4,50,51,55,55,55,47,55,45,46.6,.,Privada
59,41.1,41.3,12.5,84.5,74,50,80,95,75,100,41,C,Privada
60,56.4,59.2,50,73,77,65,80,69,65,70,55.4,.,Privada
61,44.6,40.8,50,27,54,50,55,0,0,0,45.9,D,Privada
62,53.3,66.3,87.5,34.5,69,85,65,0,0,0,49,.,Privada
63,30.6,33.1,12.5,64,79,75,80,49,65,45,29.8,E,Privada
64,49.1,30,50,0,0,0,0,0,0,0,55.5,D,Privada
65,43.7,33.9,37.5,28.5,57,65,55,0,0,0,46.9,C,Privada
