id,Qual a principal razão para você ter escolhido a sua instituição de educação superior?,Categoria
2,Foi a única onde tive aprovação,Privada
3,Outro motivo,Privada
4,Proximidade da minha residência,Privada
5,Qualidade/reputação,Privada
6,Qualidade/reputação,Privada
7,Qualidade/reputação,Privada
8,Qualidade/reputação,Privada
9,Qualidade/reputação,Privada
10,Facilidade de acesso,Privada
11,Qualidade/reputação,Privada
12,Qualidade/reputação,Privada
13,Qualidade/reputação,Privada
14,Facilidade de acesso,Privada
15,Proximidade da minha residência,Privada
16,Gratuidade,Privada
17,Outro motivo,Privada
18,Qualidade/reputação,Privada
19,Qualidade/reputação,Privada
20,Qualidade/reputação,Privada
21,Qualidade/reputação,Privada
22,Qualidade/reputação,Privada
23,Qualidade/reputação,Privada
24,Possibilidade de ter bolsa de estudo,Privada
25,Qualidade/reputação,Privada
26,Qualidade/reputação,Privada
28,Outro motivo,Privada
29,Qualidade/reputação,Privada
30,Qualidade/reputação,Privada
31,Qualidade/reputação,Privada
32,Qualidade/reputação,Privada
33,Outro motivo,Privada
34,Qualidade/reputação,Privada
35,Qualidade/reputação,Privada
36,Qualidade/reputação,Privada
37,Qualidade/reputação,Privada
38,Qualidade/reputação,Privada
39,Qualidade/reputação,Privada
40,Qualidade/reputação,Privada
42,Qualidade/reputação,Privada
43,Foi a única onde tive aprovação,Privada
44,Qualidade/reputação,Privada
45,Qualidade/reputação,Privada
46,Qualidade/reputação,Privada
47,Qualidade/reputação,Privada
50,Gratuidade,Privada
51,Qualidade/reputação,Privada
53,Facilidade de acesso,Privada
54,Qualidade/reputação,Privada
55,Possibilidade de ter bolsa de estudo,Privada
56,Qualidade/reputação,Privada
57,Foi a única onde tive aprovação,Privada
58,Possibilidade de ter bolsa de estudo,Privada
59,Qualidade/reputação,Privada
60,Qualidade/reputação,Privada
61,Qualidade/reputação,Privada
62,Gratuidade,Privada
63,Qualidade/reputação,Privada
64,Qualidade/reputação,Privada
65,Outro motivo,Privada
66,Qualidade/reputação,Privada
67,Possibilidade de ter bolsa de estudo,Privada
68,Qualidade/reputação,Privada
69,Qualidade/reputação,Privada
70,Foi a única onde tive aprovação,Privada
71,Possibilidade de ter bolsa de estudo,Privada
